NPC識別碼,NPC名稱,所屬地圖識別碼,屬性,外觀,魔法型（1是／0否）,出現權重
desert_1,史萊姆,desert,earth,🟢,1,10
desert_2,哥布林,desert,fire,👺,0,1
desert_3,野狼,desert,earth,🐺,1,1
desert_4,骷髏兵,desert,earth,💀,0,1
desert_5,暗影蝠,desert,fire,🦇,1,1
desert_6,樹妖,desert,earth,🌳,0,1
desert_7,蜥蜴戰士,desert,fire,🦎,1,10
desert_8,半獸人,desert,earth,🐗,0,1
desert_9,幽靈,desert,dark,👻,1,1
desert_10,石像鬼,desert,earth,🗿,0,1
desert_11,牛頭人,desert,fire,🐂,1,1
desert_12,雙足飛龍,desert,fire,🐉,0,1
Icefield_1,寒霜狼,Icefield,lightning,🐺,1,10
Icefield_2,雪原巨熊,Icefield,ice,🐻‍❄️,0,1
Icefield_3,冰原史萊姆,Icefield,ice,🧊,1,1
Icefield_4,雷電魔像,Icefield,lightning,🗿,0,1
Icefield_5,雪怪,Icefield,ice,🦍,1,10
Icefield_6,冰墓幽靈,Icefield,ice,👻,0,1
Icefield_7,女妖,Icefield,dark,🧝‍♀️,1,1
Icefield_8,幽魂,Icefield,lightning,🌫️,0,1
Icefield_9,寒冰魔像,Icefield,ice,❄️,1,1
Icefield_10,冰晶元素,Icefield,ice,💠,0,1
Icefield_11,骷髏弓箭手,Icefield,lightning,🏹,1,1
Icefield_12,寒冰龍王,Icefield,ice,🐉,0,1
swamp_1,劇毒蛙,swamp,poison,🐸,1,10
swamp_2,沼澤鱷,swamp,dark,🐊,0,10
swamp_3,巨型水蛭,swamp,dark,🪱,1,1
swamp_4,瘴氣幽魂,swamp,poison,👻,0,1
swamp_5,食人花,swamp,poison,🌺,1,1
swamp_6,泥漿怪,swamp,earth,🫠,0,1
swamp_7,毒蚊群,swamp,poison,🦟,1,1
swamp_8,沼澤巫婆,swamp,dark,🧙,0,1
swamp_9,腐爛樹人,swamp,poison,🌳,1,1
swamp_10,蜥蜴薩滿,swamp,dark,🦎,0,1
swamp_11,深沼水蛇,swamp,poison,🐍,1,1
swamp_12,沼澤霸主,swamp,dark,🐲,0,1
undead_1,骸骨戰士,undead_mountains,dark,skeleton,1,10
undead_2,山脈怨靈,undead_mountains,dark,wraith,0,1
undead_3,腐屍獵犬,undead_mountains,poison,ghoul,1,10
undead_4,亡靈騎士,undead_mountains,dark,knight,0,1
undead_5,哀嚎女妖,undead_mountains,dark,banshee,1,1
undead_6,墓石巨像,undead_mountains,earth,golem,0,1
undead_7,血月伯爵,undead_mountains,fire,vampire,1,1
undead_8,劇毒腐屍,undead_mountains,poison,rotting,0,1
undead_9,食屍鬼,undead_mountains,dark,devourer,1,1
undead_10,骷髏法師,undead_mountains,poison,skeleton_mage,0,1
undead_11,怨靈,undead_mountains,dark,lost_soul,1,1
undead_12,骨龍王,undead_mountains,dark,dragon,0,1
god_battlefield_1,太古戰魂,god_battlefield,earth,👻,1,10
god_battlefield_2,遠古神兵,god_battlefield,earth,🗡️,0,1
god_battlefield_3,破天戰將,god_battlefield,earth,🛡️,1,1
god_battlefield_4,烈焰神衛,god_battlefield,fire,💥,0,1
god_battlefield_5,狂暴泰坦,god_battlefield,earth,🗿,1,1
god_battlefield_6,神魔殘骸,god_battlefield,fire,☠️,0,1
god_battlefield_7,不朽英靈,god_battlefield,earth,🌟,1,1
god_battlefield_8,裁決之劍,god_battlefield,fire,⚔️,0,10
god_battlefield_9,滅世魔將,god_battlefield,dark,👹,1,1
god_battlefield_10,太古龍魂,god_battlefield,fire,🐉,0,1
god_battlefield_11,戰爭主宰,god_battlefield,fire,🔱,1,1
god_battlefield_12,殞星巨獸,god_battlefield,fire,☄️,0,1
god_chaos_1,混沌幼獸,god_chaos,lightning,🐾,1,10
god_chaos_2,虛空行者,god_chaos,ice,🌌,0,1
god_chaos_3,時空魔靈,god_chaos,ice,⏱️,1,1
god_chaos_4,裂縫幻影,god_chaos,ice,👥,0,1
god_chaos_5,混沌噬魂獸,god_chaos,lightning,👾,1,1
god_chaos_6,蝕天巨煞,god_chaos,ice,👹,0,1
god_chaos_7,虛空之眼,god_chaos,dark,👁️,1,1
god_chaos_8,元素狂暴體,god_chaos,lightning,⚡,0,10
god_chaos_9,混沌使者,god_chaos,lightning,🔮,1,1
god_chaos_10,星雲魔獸,god_chaos,ice,🌌,0,1
god_chaos_11,創世餘燼,god_chaos,lightning,🔥,1,1
god_chaos_12,混沌大天尊,god_chaos,ice,☸️,0,1
god_sanctuary_1,巡天聖光,god_sanctuary,light,💫,1,10
god_sanctuary_2,天使,god_sanctuary,light,👼,0,5
god_sanctuary_3,天使巡狩,god_sanctuary,light,👼‍♀️,1,5
god_sanctuary_4,審判使者,god_sanctuary,fire,⚖️,0,1
god_sanctuary_5,聖域守衛,god_sanctuary,light,🛡️,1,5
god_sanctuary_6,曜光巨龍,god_sanctuary,light,🐉,0,1
god_sanctuary_7,巨魔像,god_sanctuary,earth,🏛️,1,1
god_sanctuary_8,永恒靈體,god_sanctuary,lightning,🕊️,0,1
god_sanctuary_9,聖地執法者,god_sanctuary,light,📜,1,1
god_sanctuary_10,神王護衛長,god_sanctuary,light,👑,0,1
god_sanctuary_11,智慧晶體,god_sanctuary,ice,🌟,1,1
god_sanctuary_12,神聖執法官,god_sanctuary,light,🌌,0,1
