群組ID,群組名稱,階段名稱,群組圖標,階數,解鎖轉生/等級,超神ID,range,施放距離（米）,施放距離每級增加（米）,作用距離（米；用途見說明）,作用距離每級增加（米）,每段或每跳間隔（秒）,間隔每級增減（秒）,矩形長度（米）,矩形長度每級增加（米）,矩形寬度（米）,矩形寬度每級增加（米）,扇形角度（度）,角度每級增減（度）,傷害類型,傷害屬性,冷卻時間,施法消耗,施放特效,攻擊特效,飛行子彈,受擊特效,地板特效,持續場域特效,效果參數(JSON),升級金幣基數,升級金幣倍率,效果說明模板,作用方式與距離用途（唯讀說明）
thrust,突刺,突刺,🗡️,1,0|1,,12*3,,,,,,,,,,,,,,,15,25,,slash-thrust-lance,,hit-phys,,,"{""pct"":150,""pctPer"":15,""count"":2}",100000,1.5,對前方敵人造成 {count} 次 {pct}% 物理傷害,對前方敵人造成 {count} 次 {pct}% 物理傷害
thrust,突刺,連刺,🗡️,2,0|1,,12*3,,,,,,,,,,,,,,,15,40,,,,,,,"{""chance"":25,""chancePer"":2.5,""count"":2}",200000,1.5,有 {chance}% 的機率再次進行 {count} 次突刺,有 {chance}% 的機率再次進行 {count} 次突刺
thrust,突刺,傷害強化,🗡️,3,0|50,,12*3,,,,,,,,,,,,,,,15,60,,slash-thrust-empowered,,hit-phys,,,"{""pct"":20,""pctPer"":3}",400000,1.5,進一步強化突刺傷害，額外 +{pct}% 物理傷害（與第 1 階累加）,進一步強化突刺傷害，額外 +{pct}% 物理傷害（與第 1 階累加）
thrust,突刺,超連刺,🗡️,4,0|100,,12*3,,,,,,,,,,,,,,,15,80,,slash-thrust-empowered,,hit-phys,,,"{""count"":3,""range"":20,""rangePer"":2}",800000,1.5,每次能進行 {count} 道平行貫穿突刺，且突刺範圍提升 {range}%,每次能進行 {count} 道平行貫穿突刺，且突刺範圍提升 {range}%
thrust,突刺,擴散,🗡️,5,0|150,,12*3,,,,,,,,,,,,,,,15,100,,slash-thrust-scatter,,hit-phys,,,"{""pct"":20,""pctPer"":2,""count"":4}",1500000,1.5,突刺造成的傷害有 {pct}% 會擴散至周圍的 {count} 個敵人,突刺造成的傷害有 {pct}% 會擴散至周圍的 {count} 個敵人
thrust,突刺,貫穿突刺,🗡️,6,0|200,,12*3,,,5,0.5,,,,,,,,,,,15,140,,slash-thrust-scatter,,hit-phys,,,{},3000000,1.5,突刺會造成一直線的傷害，貫穿路徑上所有敵人，貫穿長度在原本長度上再增加 {m} 米,突刺會造成一直線的傷害，貫穿路徑上所有敵人，貫穿長度在原本長度上再增加 {m} 米
thrust,突刺,八方連刺,🗡️,7,0|250,,12*3,,,,,,,,,,,,,,,15,240,,slash-thrust-scatter,,hit-phys,,,"{""pct"":20,""pctPer"":2,""count"":3,""directions"":8}",5000000,1.5,向八個方向同時進行 {count} 次突刺，且造成傷害額外 +{pct}%,向八個方向同時進行 {count} 次突刺，且造成傷害額外 +{pct}%
thrust,,幻影八方陣,,8,,phantomOcta,,,,6,0.6,,,,,,,,,,,,300,,,,,,,"{""dodge"":30,""sec"":2}",10000000,1.5,突刺命中時，傷害同時擴散至該敵人周圍 {m} 米內的所有敵人；施放突刺後 {sec} 秒內，你有 {dodge}% 機率絕對閃避敵方攻擊,突刺命中時，傷害同時擴散至該敵人周圍 {m} 米內的所有敵人；施放突刺後 {sec} 秒內，你有 {dodge}% 機率絕對閃避敵方攻擊
thrust,,暗影絕殺者,,9,,shadowExecutioner,,,,,,,,,,,,,,,,,300,,,,,,,"{""perStack"":1,""perStackPer"":0.2,""maxStacks"":100,""pct"":100,""pctPer"":20,""dur"":30}",10000000,1.5,突刺命中時堆疊【靈魂撕裂】：每層使該敵人受到的傷害提高 {perStack}%，最多 {maxStacks} 層（疊滿＝+{pct}%）,突刺命中時堆疊【靈魂撕裂】：每層使該敵人受到的傷害提高 {perStack}%，最多 {maxStacks} 層（疊滿＝+{pct}%）
thrust,,一擊必殺,,10,,oneStrikeKill,,,,,,,,,,,,,,,,,300,,,,,,,"{""mult"":4,""multPer"":0.4}",10000000,1.5,【八方連刺】改為朝前方的 1 道突刺，但傷害改為 {mult} 倍，且可以立即殺死普通敵人,【八方連刺】改為朝前方的 1 道突刺，但傷害改為 {mult} 倍，且可以立即殺死普通敵人
cleave,迴旋斬,迴旋斬,🪓,1,0|1,,,,,,,,,,,,,,,,,15,25,,slash-cleave-arc,,hit-phys,,,"{""pct"":200,""pctPer"":20}",100000,1.5,對範圍內的所有敵人造成 1 次 {pct}% 物理傷害,對範圍內的所有敵人造成 1 次 {pct}% 物理傷害
cleave,迴旋斬,強化斬,🪓,2,0|1,,,,,,,,,,,,,,,,,15,40,,,,,,,"{""range"":15,""rangePer"":1.5}",200000,1.5,斬擊範圍擴大 {range}%（每級 +1.5% 範圍）,斬擊範圍擴大 {range}%（每級 +1.5% 範圍）
cleave,迴旋斬,傷害強化,🪓,3,0|50,,,,,,,,,,,,,,,,,15,60,,,,,,,"{""pct"":50,""pctPer"":5}",400000,1.5,進一步強化斬擊傷害，額外 +{pct}% 物理傷害,進一步強化斬擊傷害，額外 +{pct}% 物理傷害
cleave,迴旋斬,連斬,🪓,4,0|100,,,,,,,,,,,,,,,,,15,80,,,,,,,"{""chance"":25,""chancePer"":2.5,""times"":2,""timesPer"":0.25}",800000,1.5,斬擊時有 {chance}% 機率連續劈出共 {times} 次斬擊（不足 1 次的部分以機率觸發）,斬擊時有 {chance}% 機率連續劈出共 {times} 次斬擊（不足 1 次的部分以機率觸發）
cleave,迴旋斬,暈眩擊,🪓,5,0|150,,,,,,,,,,,,,,,,,15,100,,slash-cleave-stun,,,,,"{""chance"":25,""chancePer"":1,""sec"":1,""secPer"":0.1}",1500000,1.5,斬擊時有 {chance}% 機率擊暈敵人 {sec} 秒,斬擊時有 {chance}% 機率擊暈敵人 {sec} 秒
cleave,迴旋斬,震碎斬,🪓,6,0|200,,,,,12,0.5,,,,,,,,,,,15,140,,slash-cleave-stun,,hit-phys,,,{},3000000,1.5,斬擊會向前飛出 {m} 米距離，命中路徑上的敵人,斬擊會向前飛出 {m} 米距離，命中路徑上的敵人
cleave,迴旋斬,迴身四方斬,🪓,7,0|250,,,,,,,,,,,,,,,,,15,240,,slash-cleave-stun,,hit-phys,,,"{""pct"":50,""pctPer"":5,""times"":3,""timesPer"":0}",5000000,1.5,同時朝前後左右四個方向各使出 {times} 次斬擊，且傷害額外 +{pct}%（每級 +5% 傷害；與原有傷害乘法計算）,同時朝前後左右四個方向各使出 {times} 次斬擊，且傷害額外 +{pct}%（每級 +5% 傷害；與原有傷害乘法計算）
