狀態ID,狀態名稱,狀態圖標,狀態分類,狀態效果,效果鍵值,傷害屬性,傷害來源,狀態傷害,傷害上限參照,傷害上限倍率,效果數值,持續時間,作用間隔時間,疊加規則,最大疊層,說明
bleed,流血,🩸,debuff,dot,,,skill,25,,0,0,5,1,strongest,1,傷口持續失血，每次作用造成技能傷害的一部分。
burn,燃燒,🔥,debuff,dot,,fire,skill,20,,0,0,4,1,strongest,1,火焰持續灼燒，每次作用造成火屬性傷害。
poison,中毒,☠️,debuff,dot,,poison,skill,40,,0,0,6,1,strongest,1,毒素侵蝕血脈，每次作用造成毒屬性傷害。
corrode,侵蝕,🕳️,debuff,dot,,dark,skill,25,,0,0,4,1,strongest,1,暗影侵蝕軀體，每次作用造成暗屬性傷害。
plague,瘟疫,🦠,debuff,dot,,poison,skill,40,,0,0,6,1,strongest,1,疫病蔓延，每次作用造成毒屬性傷害。
deathCurse,詛咒,💀,debuff,dot,,dark,maxHp,2.4,matk,6,0,5,1,strongest,1,每次作用造成目標最大生命一定比例的傷害，總量受施法者魔攻上限限制。
stun,暈眩,😵,ctrl,ctrl,stun,,,0,,0,0,1,0,refresh,1,無法行動；持續時間受控場遞減與韌性影響。
slow,減速,🐌,ctrl,ctrl,slow,,,0,,0,0,3,0,refresh,1,攻擊速度下降；持續時間受控場遞減與韌性影響。
invuln,無敵結界（免疫一切傷害與負面效果）,✨,buff,ctrl,invuln,,,0,,0,0,3,0,refresh,1,免疫一切傷害與負面狀態。
regen,再生,💚,buff,hot,hot,,maxHp,2.5,,0,0,6,0,strongest,1,每秒回復最大生命的一定比例。
shield,護盾,🛡️,buff,shield,shield,,maxHp,18,,0,0,15,0,strongest,1,吸收傷害的屏障，占施法者最大生命一定比例；被打完或時間到就消失（時間到時未用完的部分一併消失）。
atkUp,攻擊,⚔️,buff,stat,atkUp,,,0,,0,15,6,0,refresh,1,攻擊力提高。
defUp,防禦,🛡️,buff,stat,defUp,,,0,,0,40,6,0,refresh,1,防禦力提高。
aspdUp,攻速,⚡,buff,stat,aspdUp,,,0,,0,25,6,0,refresh,1,攻擊速度提高。
evasionUp,閃避,🌀,buff,stat,evasionUp,,,0,,0,25,5,0,refresh,1,閃避提高。
critDmgUp,爆傷,💥,buff,stat,critDmgUp,,,0,,0,40,6,0,refresh,1,爆擊傷害提高。
blockUp,格擋,🔰,buff,stat,blockUp,,,0,,0,12,6,0,refresh,1,格擋率提高。
thornsUp,反震,🌵,buff,stat,thornsUp,,,0,,0,15,6,0,refresh,1,反震傷害提高。
lootUp,掉寶,🎁,buff,stat,lootUp,,,0,,0,15,10,0,refresh,1,掉寶率提高。
penUp,物理/魔法穿透,🗡️,buff,stat,penUp,,,0,,0,25,5,0,refresh,1,物理與魔法穿透提高。
allDmgUp,時空凝滯·所有傷害,🌌,buff,stat,allDmgUp,,,0,,0,0,5,0,refresh,1,潛力【時空凝滯】：所有傷害提高。
velocitySurge,極速之力·攻速,💨,buff,stat,velocitySurge,,,0,,0,0,5,0,refresh,1,潛力【極速之力】：攻速提高。
lightningOverload,雷霆過載·雷電傷害,🌩️,buff,stat,lightningOverload,lightning,,0,,0,0,5,0,refresh,1,潛力【雷霆過載】：雷電傷害提高。
chronoCdr,時間坍縮·冷卻縮減,⏱️,buff,stat,chronoCdr,,,0,,0,0,5,0,refresh,1,潛力【時間坍縮】：冷卻縮減。
sacredInvert,聖療逆轉·回復/溢傷,🕊️,buff,stat,sacredInvert,light,,0,,0,0,5,0,refresh,1,潛力【聖療逆轉】：回復與溢傷轉換。
legendaryDarkUp,暗影強化,🌑,buff,stat,legendaryDarkUp,dark,,0,,0,0,5,0,refresh,1,傳奇特效：暗屬性傷害提高。
legendaryGuardRed,守護減傷,🛡️,buff,stat,legendaryGuardRed,,,0,,0,0,5,0,refresh,1,傳奇特效：受到的傷害降低。
legendaryLightShieldRed,聖盾減傷,🔆,buff,stat,legendaryLightShieldRed,light,,0,,0,0,5,0,refresh,1,傳奇特效：受到的傷害降低。
