地圖識別碼,最低關卡,最高關卡,裝備掉落率（品質R0至R10）,寶石掉落率（等級R1至R5）,技能書掉落率,太古精華掉落率,魔塵掉落率
desert,1,20,25|15|10|0|0|0|0|0|0|0|0,4|0.8|0.3|0|0,0,0,0
desert,21,99,35|20|15|5|0|0|0|0|0|0|0,4|0.8|0.3|0|0,1,0,0
desert,100,149,40|30|20|10|1.5|0|0|0|0|0|0,6|1.1|0.4|0|0,1,0,1
desert,150,200,50|40|30|15|2.5|1|0|0|0|0|0,8|1.4|0.5|0.1|0,2,0,1
desert,40,49,0|0|0|0|2|0|0|0|0|0|0,0|0|0|0|0,0,0,0
desert,50,99,0|0|0|0|1|0|0|0|0|0|0,0|0|0|0|0,0,0,0
Icefield,1,199,50|40|30|15|5|0.5|0|0|0|0|0,8|1.4|0.5|0.1|0,1,0,1
Icefield,200,249,50|40|30|15|10|1.5|0.1|0|0|0|0,10|2|1|0.5|0.1,2,1,1
Icefield,250,300,50|40|30|15|10|3|0.25|0|0|0|0,12|2|1|0.6|0.1,2,1,1
swamp,1,199,50|40|30|15|5|1|0|0|0|0|0,8|1.4|0.5|0.1|0,1,0,1
swamp,200,249,50|40|30|15|10|1.5|0.1|0|0|0|0,10|2|1|0.5|0.1,2,1,1
swamp,250,349,50|40|30|15|10|3|0.25|0|0|0|0,12|2|1|0.6|0.1,3,2,1
swamp,350,400,50|40|30|15|10|3|0.35|0.1|0|0|0,12|2|0.7|0.3|0.2,4,3,1
undead_mountains,1,199,50|40|30|15|5|1|0|0|0|0|0,8|1.4|0.5|0.1|0,1,0,1
undead_mountains,200,299,50|40|30|15|10|1.5|0.1|0|0|0|0,10|2|1|0.5|0.1,2,1,1
undead_mountains,300,399,50|40|30|15|10|3|0.25|0.1|0|0|0,12|2|1|0.6|0.1,3,2,1
undead_mountains,400,449,50|40|30|15|10|3|0.3|0.2|0|0|0,12|2|0.7|0.3|0.2,4,3,1
undead_mountains,450,500,50|40|30|15|10|3|0.5|0.3|0|0|0,14|3|1|0.4|0.25,4,3,1
god_battlefield,1,150,53|48|47|10|3|1|0.08|0|0|0|0,11|1.7|0.6|0.1|0.08,7,3,1
god_battlefield,151,300,61|51|49|20|6|2|0.16|0|0|0|0,14|2.4|0.8|0.2|0.16,9,4,1
god_battlefield,301,450,69|54|51|30|9|3|0.24|0|0|0|0,17|3.1|1|0.3|0.24,11,5,1
god_battlefield,451,550,77|57|53|40|12|4|0.32|0|0|0|0,20|3.8|1.2|0.4|0.32,13,6,1
god_battlefield,551,600,77|57|53|40|12|4|0.32|2|0|1|0,20|3.8|1.2|0.4|0.32,13,6,1
god_chaos,1,175,61|56|55|10|3|1|0.08|0|0|0|0,11|1.7|0.6|0.1|0.08,7,3,1
god_chaos,176,350,69|59|57|20|6|2|0.16|0|0|0|0,14|2.4|0.8|0.2|0.16,9,4,1
god_chaos,351,525,77|62|59|30|9|3|0.24|0|0|0|0,17|3.1|1|0.3|0.24,11,5,1
god_chaos,526,550,85|65|61|40|12|4|0.32|0|0|0|0,20|3.8|1.2|0.4|0.32,13,6,1
god_chaos,551,700,85|65|61|40|12|4|0.32|2|0|1|0,20|3.8|1.2|0.4|0.32,13,6,1
god_sanctuary,1,200,69|64|63|10|3|1|0.08|0|0|0|0,11|1.7|0.6|0.1|0.08,7,3,1
god_sanctuary,201,400,77|67|65|20|6|2|0.16|0|0|0|0,14|2.4|0.8|0.2|0.16,9,4,1
god_sanctuary,401,600,85|70|67|30|9|3|0.24|0|0|0|0,17|3.1|1|0.3|0.24,11,5,1
god_sanctuary,601,800,93|73|69|40|12|4|0.32|2|0|1|0,20|3.8|1.2|0.4|0.32,13,6,1
