timeHour,level,stage,zone,dps,atk,hpMax,gold,scrap,essence,dust,ancientEssence,totalKills,totalDrops
0,1,1,plains,0,13,170,50,0,0,0,0,0,0
1,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
2,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
3,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
4,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
5,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
6,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
7,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
8,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
9,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
10,4,3,plains,99.2,59,368,693,14,0,0,0,84,84
